Coral_ID,Treatment,Crab_treatment,Algae_treatment,Wounding_treatment,Tank_ID,Death_day,Censored
1,NNW,N,N,Y,1,2/5/20,1
2,NAW,N,Y,Y,1,2/5/20,1
3,CNN,Y,N,N,1,2/23/20,1
4,CAN,Y,Y,N,1,2/11/20,1
5,NAN,N,Y,N,2,2/5/20,1
6,NNN,N,N,N,2,2/5/20,1
7,CAW,Y,Y,Y,2,2/14/20,0
8,CNW,Y,N,Y,2,2/25/20,0
9,NAW,N,Y,Y,3,2/10/20,1
10,NNW,N,N,Y,3,2/25/20,0
11,CAW,Y,Y,Y,3,2/25/20,0
12,CNN,Y,N,N,3,2/25/20,0
13,NNN,N,N,N,4,2/25/20,0
14,CAN,Y,Y,N,4,2/11/20,1
15,CNW,Y,N,Y,4,2/25/20,0
16,NAN,N,Y,N,4,2/5/20,1
17,NNN,N,N,N,5,2/6/20,1
18,NNW,N,N,Y,5,2/6/20,1
19,NAW,N,Y,Y,5,2/5/20,1
20,NAN,N,Y,N,5,2/5/20,1
21,CAN,Y,Y,N,6,2/25/20,0
22,CNN,Y,N,N,6,2/25/20,0
23,CNW,Y,N,Y,6,2/25/20,0
24,CAW,Y,Y,Y,6,2/25/20,0
25,NAN,N,Y,N,7,2/10/20,1
26,CNW,Y,N,Y,7,2/25/20,0
27,NNN,N,N,N,7,2/25/20,0
28,CAW,Y,Y,Y,7,2/25/20,0
29,NNW,N,N,Y,8,2/16/20,0
30,NAW,N,Y,Y,8,2/10/20,1
31,CNN,Y,N,N,8,2/25/20,0
32,CAN,Y,Y,N,8,2/25/20,0
33,NAW,N,Y,Y,9,2/10/20,1
34,CNN,Y,N,N,9,2/25/20,0
35,CAW,Y,Y,Y,9,2/7/20,1
36,CNW,Y,N,Y,9,2/25/20,0
37,CAN,Y,Y,N,10,2/23/20,1
38,NNN,N,N,N,10,2/19/20,1
39,NAN,N,Y,N,10,2/19/20,1
40,NNW,N,N,Y,10,2/25/20,0
41,NAN,N,Y,N,11,2/7/20,1
42,NAW,N,Y,Y,11,2/6/20,1
43,NNW,N,N,Y,11,2/9/20,1
44,CNW,Y,N,Y,11,2/25/20,0
45,NNN,N,N,N,12,2/20/20,1
46,CAN,Y,Y,N,12,2/22/20,1
47,CNN,Y,N,N,12,2/25/20,0
48,CAW,Y,Y,Y,12,2/25/20,0
49,NNN,N,N,N,13,2/25/20,0
50,CNW,Y,N,Y,13,2/25/20,0
51,CAW,Y,Y,Y,13,2/25/20,0
52,NAW,N,Y,Y,13,2/7/20,1
53,CNN,Y,N,N,14,2/25/20,0
54,CAN,Y,Y,N,14,2/6/20,1
55,NNW,N,N,Y,14,2/7/20,1
56,NAN,N,Y,N,14,2/6/20,1
57,CAN,Y,Y,N,15,2/7/20,1
58,CAW,Y,Y,Y,15,2/25/20,0
59,NNN,N,N,N,15,2/22/20,1
60,CNW,Y,N,Y,15,2/25/20,0
61,NAW,N,Y,Y,16,2/6/20,1
62,NNW,N,N,Y,16,2/25/20,0
63,NAN,N,Y,N,16,2/8/20,1
64,CNN,Y,N,N,16,2/25/20,0
65,CNW,Y,N,Y,17,2/25/20,0
66,CAW,Y,Y,Y,17,2/25/20,0
67,NNW,N,N,Y,17,2/10/20,1
68,NAW,N,Y,Y,17,2/12/20,1
69,NNN,N,N,N,18,2/25/20,0
70,CNN,Y,N,N,18,2/25/20,0
71,NAN,N,Y,N,18,2/10/20,1
72,CAN,Y,Y,N,18,2/19/20,1
73,NNW,N,N,Y,19,2/25/20,0
74,NAW,N,Y,Y,19,2/7/20,1
75,NNN,N,N,N,19,2/25/20,0
76,CAW,Y,Y,Y,19,2/15/20,1
77,NAN,N,Y,N,20,2/6/20,1
78,CNN,Y,N,N,20,2/10/20,1
79,CNW,Y,N,Y,20,2/12/20,1
80,CAN,Y,Y,N,20,2/6/20,1