Colony_ID,NW_algae_initial_weight,W_algae_intial_weight,NW_final_weight,W_final_weight,NW_change,W_change,NW_%loss,W_%loss
198,8.308,6.497,4.446,1.535,3.862,4.962,46.48531536,76.37371094
160,7.789,8.811,2.935,7.023,4.854,1.788,62.31865451,20.2928158
161,7.812,7.805,2.864,6.229,4.948,1.576,63.33845366,20.1921845
199,9.101,8.514,9.147,1.829,-0.046,6.685,-0.505438963,78.51773549
164,8.288,8.46,3.162,5.135,5.126,3.325,61.8484556,39.30260047
162,8.165,8.938,1.99,0,6.175,8.938,75.62767912,100
163,6.871,9.627,3.437,4.752,3.434,4.875,49.97816912,50.6388283
165,6.231,9.438,0,1.799,6.231,7.639,100,80.93875821
167,9.831,7.978,8.034,1.794,1.797,6.184,18.27891364,77.51316119
166,6.929,7.758,6.356,0.89,0.573,6.868,8.269591572,88.52797113
169,6.858,7.427,3.337,5.435,3.521,1.992,51.34149898,26.8210583
168,8.107,7.811,3.027,4.253,5.08,3.558,62.66189713,45.55114582
121,8.484,8.443,11.402,4.856,-2.918,3.587,-34.3941537,42.48489873
118,7.49,7.699,8.206,4.094,-0.716,3.605,-9.55941255,46.82426289
195,6.032,8.18,3.95,0,2.082,8.18,34.51591512,100
122,6.127,7.233,1.119,0,5.008,7.233,81.73657581,100
197,7.031,7.81,0,0,7.031,7.81,100,100
240,7.087,7.777,7.874,3.868,-0.787,3.909,-11.10483985,50.26359779
241,7.756,7.201,7.384,5.748,0.372,1.453,4.796286746,20.17775309
242,7.121,7.235,1.586,1.185,5.535,6.05,77.72784721,83.62128542