Colony_ID,length_cm,width_cm,height_cm,GPS lat,GPS long
198,105,102,19,23.44528 S,151.91606 E
160,128,124,15,23.44588 S,151.91641 E
161,167,86,28,23.44585 S,151.91643 E
199,96,69,23,23.44575 S,151.91644 E
164,100,147,23,23.44580 S,151.91643 E
162,148,110,19,23.44587 S,151.91641 E
163,167,114,19,23.44583 S,151.91643 E
165,102,82,17,23.44591 S,151.91655 E
167,139,88,27,23.44655 S,151.91643 E
166,135,74,19,23.44614 S,151.91656 E
169,189,175,21,23.44653 S,151.91637 E
168,145,120,26,23.44657 S,151.91638 E
121,99,75,18,23.44628 S,151.91655 E
118,97,72,23,23.44628 S,151.91653 E
195,137,119,17,23.44643 S,151.91650 E
122,146,99,24,23.44646 S,151.91652 E
197,117,102,44,23.44662 S,151.91634 E
240,113,106,38,23.44664 S,151.91637 E
241,118,101,38,23.44667 S,151.91638 E
242,198,108,30,23.44668 S,151.91644 E